"","","","","/項目 コード","A1101","A1301","A1302","A1303"
"地域 コード","地域","調査年 コード","調査年","/項目","A1101_総人口【人】","A1301_15歳未満人口【人】","A1302_15～64歳人口【人】","A1303_65歳以上人口【人】"
"01209","北海道 夕張市","2010100000","2010年度","","10,922","719","5,417","4,786"
"01209","北海道 夕張市","2005100000","2005年度","","13,001","1,022","6,819","5,160"
"01209","北海道 夕張市","2000100000","2000年度","","14,791","1,320","8,502","4,969"
"01209","北海道 夕張市","1995100000","1995年度","","17,116","1,800","10,879","4,437"
"01209","北海道 夕張市","1990100000","1990年度","","20,969","2,799","14,318","3,852"
"01209","北海道 夕張市","1985100000","1985年度","","31,665","5,641","22,383","3,641"
"01209","北海道 夕張市","1980100000","1980年度","","41,715","8,358","29,571","3,786"
"01210","北海道 岩見沢市","2020100000","2020年度","","79,306","7,859","42,391","28,880"
"01210","北海道 岩見沢市","2015100000","2015年度","","84,499","8,983","47,848","27,503"
"01210","北海道 岩見沢市","2010100000","2010年度","","90,145","10,253","54,834","25,032"
"01210","北海道 岩見沢市","2005100000","2005年度","","93,677","11,558","59,582","22,537"
"01210","北海道 岩見沢市","2000100000","2000年度","","96,302","13,267","63,236","19,793"
"01210","北海道 岩見沢市","1995100000","1995年度","","97,042","14,876","65,787","16,379"
"01210","北海道 岩見沢市","1990100000","1990年度","","93,312","16,128","64,188","12,866"
"01210","北海道 岩見沢市","1985100000","1985年度","","95,862","19,093","66,194","10,575"
"01210","北海道 岩見沢市","1980100000","1980年度","","93,340","19,983","64,653","8,704"
"01211","北海道 網走市","2020100000","2020年度","","35,759","3,731","20,405","11,259"
"01211","北海道 網走市","2015100000","2015年度","","39,077","4,571","23,698","10,691"
"01211","北海道 網走市","2010100000","2010年度","","40,998","5,061","26,578","9,324"
"01211","北海道 網走市","2005100000","2005年度","","42,045","5,508","28,119","8,418"
"01211","北海道 網走市","2000100000","2000年度","","43,395","6,214","29,859","7,322"
"01211","北海道 網走市","1995100000","1995年度","","44,176","7,232","30,824","6,120"
"01211","北海道 網走市","1990100000","1990年度","","44,416","8,570","30,945","4,901"
"01211","北海道 網走市","1985100000","1985年度","","44,283","9,951","30,427","3,905"
"01211","北海道 網走市","1980100000","1980年度","","44,777","10,673","30,913","3,191"
"01212","北海道 留萌市","2020100000","2020年度","","20,114","1,711","9,981","7,425"
"01212","北海道 留萌市","2015100000","2015年度","","22,221","2,290","12,391","7,513"
"01212","北海道 留萌市","2010100000","2010年度","","24,457","2,751","14,807","6,899"
"01212","北海道 留萌市","2005100000","2005年度","","26,826","3,400","17,205","6,221"
"01212","北海道 留萌市","2000100000","2000年度","","28,325","4,021","19,022","5,282"
"01212","北海道 留萌市","1995100000","1995年度","","30,060","5,000","20,516","4,544"
"01212","北海道 留萌市","1990100000","1990年度","","32,429","6,286","22,313","3,810"
"01212","北海道 留萌市","1985100000","1985年度","","35,542","8,065","24,242","3,235"
"01212","北海道 留萌市","1980100000","1980年度","","36,626","9,004","24,675","2,947"
"01213","北海道 苫小牧市","2020100000","2020年度","","170,113","20,426","96,847","50,022"
"01213","北海道 苫小牧市","2015100000","2015年度","","172,737","22,401","105,217","44,469"
"01213","北海道 苫小牧市","2010100000","2010年度","","173,320","23,476","113,284","36,515"
"01213","北海道 苫小牧市","2005100000","2005年度","","172,758","24,575","116,949","31,234"
"01213","北海道 苫小牧市","2000100000","2000年度","","172,086","26,445","120,237","25,397"
"01213","北海道 苫小牧市","1995100000","1995年度","","169,328","29,799","119,164","19,847"
"01213","北海道 苫小牧市","1990100000","1990年度","","160,118","32,969","111,589","15,020"
"01213","北海道 苫小牧市","1985100000","1985年度","","158,061","38,280","108,385","11,394"
"01213","北海道 苫小牧市","1980100000","1980年度","","151,967","38,770","104,702","8,485"
"01214","北海道 稚内市","2020100000","2020年度","","33,563","3,484","18,920","11,025"
